record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
2-19_preprocessed,2,2,10.9725,14.0005,3.028,11.905,1.92626593317395,0.511613460764907,valid,valid_complete_cycle,segmented_records/2-19_preprocessed/2-19_preprocessed_rep02.csv
2-19_preprocessed,2,3,15.884,19.1465,3.2625,16.657,1.92077187447438,0.666107720110032,valid,valid_complete_cycle,segmented_records/2-19_preprocessed/2-19_preprocessed_rep03.csv
2-19_preprocessed,2,4,20.918,23.615,2.697,21.865,1.86093798160859,0.694291057047158,valid,valid_complete_cycle,segmented_records/2-19_preprocessed/2-19_preprocessed_rep04.csv
2-19_preprocessed,2,5,26.0835,28.796,2.7125,26.991,1.71721787849313,0.589257840961471,valid,valid_complete_cycle,segmented_records/2-19_preprocessed/2-19_preprocessed_rep05.csv
2-1_preprocessed,2,1,0.357,2.904,2.547,1.714,1.16257321298482,0.485322685500879,valid,valid_complete_cycle,segmented_records/2-1_preprocessed/2-1_preprocessed_rep01.csv
2-1_preprocessed,2,2,5.442,8.2695,2.8275,6.5515,1.56234503647341,0.549654060159698,valid,valid_complete_cycle,segmented_records/2-1_preprocessed/2-1_preprocessed_rep02.csv
2-1_preprocessed,2,3,10.4405,13.247,2.8065,12.022,1.56768027324078,0.575352459278239,valid,valid_complete_cycle,segmented_records/2-1_preprocessed/2-1_preprocessed_rep03.csv
2-1_preprocessed,2,4,15.584,18.3805,2.7965,16.9785,1.8337117101826,0.665379032089033,valid,valid_complete_cycle,segmented_records/2-1_preprocessed/2-1_preprocessed_rep04.csv
2-1_preprocessed,2,5,20.739,23.401,2.662,21.9955,1.48119909446079,0.543667433701511,valid,valid_complete_cycle,segmented_records/2-1_preprocessed/2-1_preprocessed_rep05.csv
2-20_preprocessed,2,1,6.588,9.125,2.537,7.4935,2.21724716007949,0.841028677798172,valid,valid_complete_cycle,segmented_records/2-20_preprocessed/2-20_preprocessed_rep01.csv
2-20_preprocessed,2,2,10.9515,13.375,2.4235,11.791,1.16360045627742,0.501144024077761,valid,valid_complete_cycle,segmented_records/2-20_preprocessed/2-20_preprocessed_rep02.csv
2-20_preprocessed,2,3,15.876,18.3775,2.5015,16.91,1.67158961382897,0.665775181536715,valid,valid_complete_cycle,segmented_records/2-20_preprocessed/2-20_preprocessed_rep03.csv
2-20_preprocessed,2,4,21.0415,23.3865,2.345,22.172,1.90851838804953,0.71985613844186,valid,valid_complete_cycle,segmented_records/2-20_preprocessed/2-20_preprocessed_rep04.csv
2-20_preprocessed,2,5,25.6755,28.8865,3.211,26.6005,2.22873066100397,0.722411725633934,valid,valid_complete_cycle,segmented_records/2-20_preprocessed/2-20_preprocessed_rep05.csv
2-21_preprocessed,2,1,4.9,7.7505,2.8505,6.0435,1.81106040016086,0.596338000729403,valid,valid_complete_cycle,segmented_records/2-21_preprocessed/2-21_preprocessed_rep01.csv
2-21_preprocessed,2,2,10.8125,13.2455,2.433,11.4915,1.70375717408697,0.649311937598497,valid,valid_complete_cycle,segmented_records/2-21_preprocessed/2-21_preprocessed_rep02.csv
2-21_preprocessed,2,3,15.4555,18.2065,2.751,16.609,1.70650771027475,0.599739681034337,valid,valid_complete_cycle,segmented_records/2-21_preprocessed/2-21_preprocessed_rep03.csv
2-21_preprocessed,2,4,21.113,23.6405,2.5275,22.301,1.46606968128755,0.706992300234349,valid,valid_complete_cycle,segmented_records/2-21_preprocessed/2-21_preprocessed_rep04.csv
2-21_preprocessed,2,5,25.9435,28.1105,2.167,26.7495,1.61916731980445,0.738699483998418,valid,valid_complete_cycle,segmented_records/2-21_preprocessed/2-21_preprocessed_rep05.csv
2-22_preprocessed,2,1,0,1.2615,1.2615,0,0.632833596007271,0.29516692157783,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep01.csv
2-22_preprocessed,2,2,5.8275,8.6785,2.851,7.162,1.5817078674379,0.663190521578359,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep02.csv
2-22_preprocessed,2,3,12.5895,15.378,2.7885,13.5255,1.58975035532104,0.600521503459476,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep03.csv
2-22_preprocessed,2,4,16.9155,19.1085,2.193,17.7625,1.95453275222,0.68640425950331,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep04.csv
2-22_preprocessed,2,5,21.231,23.6135,2.3825,22.105,1.86592744457095,0.688837909379957,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep05.csv
2-22_preprocessed,2,6,26.0305,28.5955,2.565,27.056,1.94767854278253,0.656114756543005,valid,valid_complete_cycle,segmented_records/2-22_preprocessed/2-22_preprocessed_rep06.csv
